Date,LSTM,Transformer,Ensemble
2026-06-01,4324.37831201838,4319.320272490062,4321.849292254221
2026-06-02,4317.896022829853,4329.348423759219,4323.6222232945365
2026-06-03,4311.417988211688,4338.339233418344,4324.878610815016
2026-06-04,4305.458753324914,4346.01654117304,4325.737647248978
2026-06-05,4300.234398773362,4349.19354489594,4324.713971834652
2026-06-08,4295.794045505754,4350.783464947511,4323.288755226633
2026-06-09,4292.098757756961,4350.166165465925,4321.132461611443
2026-06-10,4289.068730101106,4349.12908170864,4319.098905904873
2026-06-11,4286.610233063853,4347.646557327112,4317.128395195483
2026-06-12,4284.6304396554915,4348.144213133069,4316.3873263942805
2026-06-15,4283.045160953407,4349.644142575168,4316.344651764288
2026-06-16,4281.780779997702,4350.26917763923,4316.0249788184665
2026-06-17,4280.775025349445,4350.4719788264765,4315.623502087961
2026-06-18,4279.976842164295,4354.6739472274485,4317.325394695872
2026-06-19,4279.344071517757,4361.301794292899,4320.322932905328
2026-06-22,4278.843192552435,4372.439228089118,4325.641210320777
2026-06-23,4278.446743950539,4384.5104756165665,4331.478609783553
2026-06-24,4278.133323933886,4396.1052112634925,4337.1192675986895
2026-06-25,4277.885398515529,4408.764234132744,4343.324816324137
2026-06-26,4277.689430426137,4423.432832402889,4350.5611314145135
2026-06-29,4277.5347187766165,4433.651021148208,4355.592869962413
2026-06-30,4277.412238720746,4440.964627600158,4359.188433160452
2026-07-01,4277.315672866171,4445.335231699107,4361.325452282639
2026-07-02,4277.239090599658,4447.324178880065,4362.281634739862
2026-07-03,4277.178753056345,4446.1771209252465,4361.677936990796
2026-07-06,4277.131050297743,4441.574836131141,4359.352943214442
2026-07-07,4277.09340379636,4434.346321086427,4355.719862441394
2026-07-08,4277.063621803827,4426.093872774639,4351.578747289233
2026-07-09,4277.040028277275,4415.8674327413455,4346.453730509311
2026-07-10,4277.021462879333,4403.675510127271,4340.348486503302
