Date,Close,signal,strat_ret,cumul_strat,cumul_bh
2024-08-08,4568.0869140625,0,,1.0,1.0
2024-08-09,4622.9384765625,0,0.0,1.0,1.0120075566712936
2024-08-12,4625.53173828125,0,0.0,1.0,1.0125752476473053
2024-08-13,4600.87060546875,0,-0.0,1.0,1.007176678557785
2024-08-14,4562.068359375,0,-0.0,1.0,0.9986824780699832
2024-08-16,4667.857421875,1,0.0,1.0,1.0218407639104599
2024-08-19,4689.828125,1,0.004706806815057973,1.004706806815058,1.0266503709819377
2024-08-20,4634.82861328125,1,-0.011727404555737286,0.9929242036316348,1.0146104267441347
2024-08-21,4642.77783203125,1,0.0017151052203356887,0.994627173116681,1.0163505903836505
2024-08-22,4679.0380859375,1,0.007810034254942089,1.0023952454096186,1.0242883233095774
2024-08-23,4732.66748046875,1,0.011461628126607781,1.0138843269483833,1.0360283351657784
2024-08-26,4712.3046875,1,-0.004302603775309666,1.0095219844155279,1.0315707157395664
2024-08-27,4633.25927734375,1,-0.01677425705640978,0.9925880031448449,1.0142668833818862
2024-08-28,4597.63720703125,1,-0.007688339499299923,0.9849566495937351,1.0064688552395493
2024-08-29,4515.99169921875,1,-0.017758144920098973,0.9674656466702344,0.9885958354506393
2024-08-30,4592.5341796875,1,0.016949207520020826,0.9838634226841393,1.0053517514191206
2024-09-02,4600.43408203125,1,0.0017201619050961625,0.9855558270636581,1.0070811192031335
2024-09-03,4742.087890625,1,0.030791400565227667,1.0159024713141693,1.038090557346195
2024-09-04,4771.03662109375,1,0.00610463811225026,1.022104188258883,1.0444277245265376
2024-09-05,4702.93310546875,1,-0.014274364469117673,1.007514300550264,1.0295191825249945
2024-09-06,4615.595703125,1,-0.018570836621552345,0.9888039170808675,1.0104001499875688
2024-09-09,4569.86572265625,1,-0.009907709299102674,0.9790071353166162,1.0003893990257222
2024-09-10,4597.8828125,1,0.006130834371095073,0.9850092659113626,1.0065226207377482
