Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Sig,MACD_Hist,ADX,DI_Plus,DI_Minus,AROON_Up,AROON_Dn,RSI,STOCH_K,STOCH_D,WILLR,ROC,MFI,BB_Upper,BB_Mid,BB_Lower,BB_Width,BB_Pct,ATR,KC_Upper,KC_Lower,KC_Mid,Ulcer,OBV,VWAP,CMF,Signal_RSI,Signal_MACD,Signal_MA
2024-05-29,4943.78173828125,5041.889150418172,4844.206384815596,4893.137762439996,4225666,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5140.975190107582,4745.60965890243,,0.0,4225666,4943.78173828125,,0,0,0
2024-05-30,4869.89599609375,4981.214894773612,4847.191642763243,4953.86205995977,2751972,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5087.21630999741,4755.510292384464,,1.0567843019693202,1473694,4914.641290797557,,0,0,0
2024-05-31,4867.546875,4935.022959804059,4758.28320147203,4912.7104421611275,3912234,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5068.263352361849,4729.299501731865,,1.2398197745925947,-2438540,4897.72241657265,,0,0,0
2024-06-03,5160.93896484375,5327.648259722872,5051.968694087267,5327.648259722872,4619434,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5165.163732234779,4773.101061444489,,1.0737154209114836,2180894,4976.121248373774,,0,0,0
2024-06-04,4240.736328125,5035.039384425459,3870.717108891894,5035.039384425459,15486676,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5241.42829565736,4462.049248811702,,8.031504808879362,-13305782,4608.697238539899,,0,0,0
2024-06-05,4271.611328125,4354.011959565388,3836.220023570039,4326.659128208116,13759681,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5146.480197450382,4324.400346413883,,10.160902095348474,453899,4505.06354648838,,0,0,0
2024-06-06,4566.86328125,4697.412096873173,4354.892464809504,4354.892464809504,9128985,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5108.731918725264,4306.229294390075,,10.364546086524625,9582884,4515.533483150911,,0,0,0
2024-06-07,4643.73486328125,4685.669153340886,4452.755774373649,4566.912593327771,4542809,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5073.511259213668,4313.093118178569,,10.322290235012895,14125693,4525.501303305544,,0,0,0
2024-06-10,4709.84130859375,4740.472161770867,4649.997847726858,4697.412546758911,2877321,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5042.074240050057,4346.041600453522,,10.158716594672153,17003014,4534.153245057227,,0,0,0
2024-06-11,4752.802734375,4817.342935669445,4726.771145540606,4727.798513347092,2718189,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5023.48788891077,4378.94415524812,,9.956580648367074,19721203,4543.4363299339275,,0,0,0
